m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
404.933135  164.825131  1.120875  2.886241  2.035834  261.803465  108.418900  2.003222  3.090540  0.927133  137776.363499 335.302328
226.678564  97.523282 2.074508  2.452941  2.507286  167.161894  77.599247 0.467911  1.701454  2.668739  2116.293599 166.027039
187.971209  54.508020 1.895693  1.331461  1.592824  307.725033  236.262055  2.940191  0.139942  2.026383  64276.942376  449.170691
565.580763  495.884255  2.565777  2.805994  2.123742  174.392751  57.989827 1.032558  2.893304  1.749378  76254.680254  746.061624
203.437335  97.336442 1.395527  3.111107  2.798475  118.835457  84.446877 0.040567  0.817378  0.961482  66.129250 622.473053
917.909283  765.521778  3.138626  2.075467  2.148651  248.763227  84.035477 2.662179  1.573239  1.312958  63077.797109  359.785482
617.760126  553.946269  0.499746  1.982824  2.898248  979.062286  112.265433  0.994894  2.412081  2.335610  82274.999503  503.846108
716.443499  484.380007  2.891638  3.138266  3.111198  212.661019  126.949106  2.242417  1.359527  1.693318  123707.736873 1035.710176
187.454330  73.188357 0.395199  2.612121  3.124018  345.877008  82.140999 2.457217  0.098126  0.731625  100700.551918 273.172004
576.508711  525.700053  1.952608  2.908039  2.653649  646.169899  254.117445  2.910371  2.041400  0.398948  501474.533482 742.721546
182.637526  65.067362 2.564475  2.594205  1.718202  274.381827  55.828675 2.851128  1.085442  1.958388  206708.111977 501.579227
147.692806  63.960894 2.915474  1.989912  2.559720  144.232278  68.348923 0.690834  1.229725  2.371043  16760.201206  371.156550
295.036322  158.225348  1.815573  2.618135  2.711169  177.729127  52.168813 0.599548  2.778306  2.524135  11251.527282  388.542027
173.202165  87.883948 1.261511  3.060824  2.099719  754.216043  510.282310  2.345532  1.125293  1.656808  68646.768904  263.412159
174.509011  94.850748 2.255792  2.951229  2.945447  779.811942  160.116716  0.493795  0.914242  2.316157  11514.920081  587.506424
185.961593  132.393654  3.109778  2.745822  2.345563  159.225093  71.774679 0.456984  0.537924  2.099121  3139.554680 185.768995
223.599394  110.596008  1.098694  2.740057  2.721802  377.009442  211.184256  0.606150  1.013024  0.506418  5551.478978 204.555070
403.012095  323.359222  2.256795  3.028662  1.658851  261.987155  163.960722  0.636045  0.226188  3.018726  6040.820772 163.279046
109.028906  47.391186 1.949544  2.721558  2.305028  203.600432  55.441910 1.622212  1.669615  2.927388  88393.247429  343.751888
273.964126  157.668210  0.745954  2.374994  1.480434  200.892444  76.850711 2.478828  1.068084  0.379661  28510.868239  100.249583
323.385707  88.686479 1.071845  2.721340  2.899179  173.088578  65.866621 0.622320  1.148607  0.243744  10321.161322  373.279752
181.009567  80.956858 2.390277  3.060779  2.419859  164.440509  105.905869  1.468767  0.446302  1.575402  54058.089606  543.374149
345.575634  232.965595  0.721487  2.520104  1.337081  456.809070  114.519337  2.440684  0.391144  1.335482  743023.107932 588.820601
262.284485  96.082999 1.188561  3.104516  2.425820  162.340911  38.897932 1.741611  1.468016  1.339091  63343.784372  504.203908
422.572375  329.720345  2.227461  2.896590  2.991404  612.245057  383.144118  2.125121  0.749915  0.783494  427747.889059 1130.772671
143.671189  94.489690 1.676624  2.981113  2.432964  140.892551  110.153251  2.341466  1.680334  1.194291  48772.933251  403.362995
167.229770  74.371039 2.151338  3.043769  2.394829  133.842999  36.934311 1.586983  0.522722  0.732359  17534.737657  212.363626
192.728600  141.847702  2.249554  3.083616  2.688329  95.490121 63.679668 0.453042  2.902997  0.534545  2984.600909 465.202603
220.668401  150.529786  0.981563  2.684451  2.415958  297.192451  207.787118  0.016810  1.981838  1.993920  4.175624  272.844729
302.908126  202.854165  2.114512  2.212698  0.936708  573.430386  214.128368  2.462753  1.846497  0.321940  102821.453361 212.401769
436.619599  377.508398  2.016140  2.467449  1.454170  288.208496  78.640056 2.854384  1.217002  0.365623  142280.791958 609.784252
185.643260  71.705675 2.334504  2.843161  2.900715  414.406268  119.427935  2.462855  0.723640  0.283718  144638.184493 343.457393
214.293101  137.382684  2.135513  2.450978  2.623652  132.101845  80.726182 0.295034  0.780493  2.470186  1235.740546 294.595137
355.024446  153.298413  0.438776  2.305500  3.103055  193.865481  67.487163 1.439463  1.950283  1.415930  36843.002087  539.587019
133.119093  67.008652 0.640762  0.292853  1.206300  245.382949  110.615998  2.875130  2.550737  0.733877  93088.944149  128.452266
148.729251  93.156493 0.473001  2.081461  2.004223  185.349380  89.620171 2.192656  2.636636  1.274619  84289.087601  196.838318
295.499903  196.268483  1.307505  2.963852  2.636674  132.092174  51.494108 2.008090  0.987881  0.856652  106188.945719 644.104396
365.397613  284.534602  2.342784  2.937102  1.015381  107.662502  75.329083 0.786126  0.674060  1.335247  12278.395058  382.934591
292.715503  243.741073  2.581504  2.967996  2.422464  224.421083  116.629328  1.832565  0.489287  1.973910  52874.108846  405.689656
174.102411  79.175659 2.465687  2.224020  3.014824  323.992894  215.226264  2.752950  0.590432  0.867234  175495.813791 453.777031
150.206373  80.241410 3.014409  2.112753  1.614288  127.620927  66.931121 2.230885  1.458419  2.753049  333868.870878 606.395990
624.863707  502.020808  1.102482  1.276940  2.554743  177.646453  80.056777 2.119467  2.747169  2.700562  443752.463448 569.280452
498.730617  458.830423  1.028521  2.921609  1.719187  375.533561  92.056389 3.053483  0.326612  1.151417  376263.137730 497.442760
218.336639  143.867465  2.973440  0.006307  0.636778  136.529363  66.672128 1.378913  2.158668  2.775952  8587.236484 115.354390
146.218103  69.167012 2.181322  3.011466  2.901798  350.661324  197.218549  0.334668  2.716382  0.589921  4303.467168 242.346246
255.973024  83.428667 0.770499  2.895656  2.722444  210.194258  95.130555 0.634095  2.171070  2.094928  10545.171426  234.952844
397.509049  225.778155  1.273021  1.790974  2.567307  419.930660  205.369878  1.889396  2.307499  2.093602  637614.556883 603.001532
136.889341  70.354583 2.212901  2.616405  1.766033  179.643447  68.117906 2.159015  2.410409  0.356907  112138.005898 308.808150
265.406444  161.692662  2.593806  2.817146  2.095556  153.563521  39.802528 0.237244  1.447322  0.771937  1213.264801 301.534312
309.396062  209.612901  2.583905  3.082409  2.662378  193.972321  150.066962  1.405706  2.204192  2.963907  24077.572156  334.461773
702.718644  221.730132  0.933893  3.001355  1.540220  220.286183  168.733625  0.507087  1.091072  0.043158  12509.720338  942.726711
364.639146  72.818360 2.597439  1.636855  1.335407  164.648688  72.937530 1.706566  2.290828  2.686882  94275.135259  330.754321
175.086856  86.130251 2.037339  3.048141  2.557789  261.296986  66.107646 1.789714  0.189827  3.083176  39023.427496  522.347180
225.847960  100.195983  2.866477  2.928618  2.524663  203.371488  161.944216  1.063049  1.911417  0.151057  34488.619318  609.625417
191.133203  40.909835 1.522082  1.641242  1.415507  148.038198  78.654470 2.330345  2.442029  0.974335  139175.649805 252.350017
183.165378  80.680878 3.065600  2.493414  3.082141  104.522025  73.071564 0.951856  0.395750  0.047189  11720.778734  275.928867
